N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
4,45,1.2,49.9,0.8,6.78,0.915113477,0.321063933,121.4207728
4,45,1.2,49.9,1,6.78,0.872055657,0.293154953,126.7233161
4,45,1.2,49.9,1.2,6.78,0.827276813,0.285182794,123.5768426
4,45,1.4,49.9,0.4,6.78,0.945854639,0.351427969,114.6562246
4,45,1.4,49.9,0.6,6.78,0.896283546,0.317338479,120.3184559
4,45,1.4,49.9,0.8,6.78,0.852026503,0.284026525,127.7920293
4,45,1.4,49.9,1,6.78,0.809835736,0.268229356,128.617538
4,45,1.4,49.9,1.2,6.78,0.769158187,0.262786634,124.6872244
4,45,1.6,49.9,0.4,6.78,0.878175524,0.320611791,116.6840249
4,45,1.6,49.9,0.6,6.78,0.833698798,0.287794231,123.4061073
4,45,1.6,49.9,0.8,6.78,0.790545865,0.272137812,123.750723
4,45,1.6,49.9,1,6.78,0.75353063,0.248151023,129.3583307
4,45,1.6,49.9,1.2,6.78,0.715325742,0.24253336,125.6440517
4,45,1.8,49.9,0.4,6.78,0.810045004,0.31307524,110.2224318
4,45,1.8,49.9,0.6,6.78,0.774022752,0.269358716,122.4143291
4,45,1.8,49.9,0.8,6.78,0.736469601,0.245308611,127.8944191
4,45,1.8,49.9,1,6.78,0.698792113,0.236279229,125.9888211
4,45,1.8,49.9,1.2,6.78,0.664570933,0.226769061,124.8438356
4,45,0.8,69.9,0.4,6.78,1.141705616,0.443476457,109.671335
4,45,0.8,69.9,0.6,6.78,1.075433613,0.412727454,111.0017461
4,45,0.8,69.9,0.8,6.78,1.015615925,0.393550517,109.9356572
4,45,0.8,69.9,1,6.78,0.96608138,0.358317033,114.8565642
4,45,0.8,69.9,1.2,6.78,0.91565577,0.353831478,110.2415554
4,45,1,69.9,0.4,6.78,1.053988052,0.399884669,112.2820919
4,45,1,69.9,0.6,6.78,0.995464778,0.367638223,115.3492572
4,45,1,69.9,0.8,6.78,0.94462134,0.336051323,119.7461904
4,45,1,69.9,1,6.78,0.895787994,0.323299879,118.0345794
4,45,1,69.9,1.2,6.78,0.851389157,0.3062616,118.4254734
4,45,1.2,69.9,0.4,6.78,0.976911317,0.356749315,116.6545157
4,45,1.2,69.9,0.6,6.78,0.922838519,0.324742718,121.0586578
4,45,1.2,69.9,0.8,6.78,0.875624066,0.309265003,120.6136539
4,45,1.2,69.9,1,6.78,0.831399172,0.291912044,121.3297036
4,45,1.2,69.9,1.2,6.78,0.789201403,0.28404708,118.3605791
4,45,1.4,69.9,0.4,6.78,0.900498167,0.34774127,110.3154038
4,45,1.4,69.9,0.6,6.78,0.85806687,0.299996775,121.8467949
4,45,1.4,69.9,0.8,6.78,0.814467665,0.275668706,125.8623804
4,45,1.4,69.9,1,6.78,0.773568076,0.265809763,123.9758725
4,45,1.4,69.9,1.2,6.78,0.7372582,0.246483244,127.4212241
4,45,1.6,69.9,0.4,6.78,0.840135086,0.31330535,114.2328135
4,45,1.6,69.9,0.6,6.78,0.796355538,0.280308767,121.0263361
4,45,1.6,69.9,0.8,6.78,0.758348567,0.254258159,127.0584447
4,45,1.6,69.9,1,6.78,0.71906778,0.245927123,124.5583829
4,45,1.6,69.9,1.2,6.78,0.684174469,0.230808501,126.2771078
4,45,1.8,69.9,0.4,6.78,0.776814972,0.304972001,108.5093545
4,45,1.8,69.9,0.6,6.78,0.740153403,0.259318756,121.5898643
4,45,1.8,69.9,0.8,6.78,0.7028575,0.243918865,122.7528134
4,45,1.8,69.9,1,6.78,0.667480705,0.231666131,122.7398906
4,45,1.8,69.9,1.2,6.78,0.634402561,0.218695353,123.5762276
4,45,0.8,89.9,0.4,6.78,1.082876566,0.450534958,102.3905847
4,45,0.8,89.9,0.6,6.78,1.024936481,0.395306713,110.4516795
4,45,0.8,89.9,0.8,6.78,0.971547631,0.443988564,93.21844954
4,45,0.8,89.9,1,6.78,0.922003324,0.343968707,114.1886965
4,45,0.8,89.9,1.2,6.78,0.873089689,0.421037258,88.33806711
4,45,1,89.9,0.4,6.78,1.001477637,0.396505502,107.597356
4,45,1,89.9,0.6,6.78,0.950210177,0.375582346,107.7764982
4,45,1,89.9,0.8,6.78,0.902269011,0.31076297,123.6848027
4,45,1,89.9,1,6.78,0.854802631,0.308708735,117.9577539
