N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
3,30,1.6,69.9,0.6,6.78,0.256244302,0.133374752,81.8446236
3,30,1.6,69.9,0.8,6.78,0.245983316,0.117960148,88.83414041
3,30,1.6,69.9,1,6.78,0.233109827,0.113098917,87.80347418
3,30,1.6,69.9,1.2,6.78,0.224077485,0.110502064,86.38481209
3,30,1.8,69.9,0.4,6.78,0.250101151,0.138836404,76.74001767
3,30,1.8,69.9,0.6,6.78,0.204973373,0.111784157,78.11361797
3,30,1.8,69.9,0.8,6.78,0.226692371,0.110206907,87.62694144
3,30,1.8,69.9,1,6.78,0.218608679,0.10805744,86.18313551
3,30,1.8,69.9,1.2,6.78,0.209901341,0.101795912,87.84042644
3,30,0.8,89.9,0.4,6.78,0.367128483,0.182503196,85.69533263
3,30,0.8,89.9,0.6,6.78,0.348607708,0.17212378,86.27911305
3,30,0.8,89.9,1,6.78,0.315329755,0.160175517,83.86454246
3,30,0.8,89.9,1.2,6.78,0.296696248,0.160090961,78.95048547
3,30,1,89.9,0.4,6.78,0.337331103,0.161082385,89.21089533
3,30,1,89.9,0.6,6.78,0.317771919,0.163111429,82.99285146
3,30,1,89.9,0.8,6.78,0.304353691,0.150375318,86.22070644
3,30,1,89.9,1,6.78,0.292491581,0.139639564,89.23073043
3,30,1,89.9,1.2,6.78,0.271213026,0.153403427,75.31561792
3,30,1.2,89.9,0.4,6.78,0.301887257,0.169385401,75.92387527
3,30,1.2,89.9,0.6,6.78,0.198725131,0.167795324,50.45247777
3,30,1.2,89.9,0.8,6.78,0.280430141,0.133611323,89.41100744
3,30,1.2,89.9,1,6.78,0.267755176,0.129376852,88.16391319
3,30,1.2,89.9,1.2,6.78,0.25100259,0.139485613,76.65815288
3,30,1.4,89.9,0.4,6.78,0.283843627,0.1455955,83.0502144
3,30,1.4,89.9,0.6,6.78,0.26917135,0.128206512,89.43928296
3,30,1.4,89.9,0.8,6.78,0.258156153,0.128104501,85.84750015
3,30,1.4,89.9,1,6.78,0.245794417,0.118316176,88.49881404
3,30,1.4,89.9,1.2,6.78,0.234959376,0.113065451,88.52632243
3,30,1.6,89.9,0.4,6.78,0.260646031,0.126571816,87.72505826
3,30,1.6,89.9,0.6,6.78,0.248088931,0.131102696,80.6130451
3,30,1.6,89.9,0.8,6.78,0.237044783,0.115451113,87.46651806
3,30,1.6,89.9,1,6.78,0.226304439,0.112118761,85.98532658
3,30,1.6,89.9,1.2,6.78,0.209544917,0.110138348,81.04908831
3,30,1.8,89.9,0.4,6.78,0.239554303,0.129496917,78.8050607
3,30,1.8,89.9,0.6,6.78,0.227535165,0.115126169,84.19456032
3,30,1.8,89.9,0.8,6.78,0.21923839,0.107593203,86.80431849
3,30,1.8,89.9,1,6.78,0.209162041,0.107680382,82.74768379
3,30,1.8,89.9,1.2,6.78,0.19738366,0.100719764,83.48454008
3,35,0.8,9.9,0.4,6.78,0.505693028,0.376219289,57.26054404
3,35,0.8,9.9,0.6,6.78,0.523241093,0.263987536,84.43606458
3,35,0.8,9.9,0.8,6.78,0.500490287,0.247077821,86.29218238
