N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],"im(Z(1,1))/(2*pi*Freq)*1e6 []","re(Z(1,1)) []","im(Z(1,1))/re(Z(1,1)) []"
7,75,0.4,69.9,0.4,6.78,11.85839901,12.61871865,40.03320535
7,75,0.4,69.9,0.6,6.78,9.580666192,7.687162737,53.09323597
7,75,0.4,69.9,0.8,6.78,7.840889189,4.744458247,70.40252726
7,75,0.4,69.9,1,6.78,6.89802751,3.596188565,81.71316427
7,75,0.6,69.9,0.4,6.78,10.02488853,8.691959641,49.13278854
7,75,0.6,69.9,0.6,6.78,8.158596889,5.245393676,66.25931616
7,75,0.6,69.9,0.8,6.78,7.035815919,3.699670346,81.01417279
7,75,0.6,69.9,1,6.78,6.292249065,2.926975231,91.57911026
7,75,0.8,69.9,0.4,6.78,9.02538963,7.234264639,53.14729067
7,75,0.8,69.9,0.6,6.78,7.377400413,4.375622958,71.8245685
7,75,0.8,69.9,0.8,6.78,6.405581534,3.031206011,90.02283222
7,75,0.8,69.9,1,6.78,5.757022854,2.441284199,100.4590751
7,75,1,69.9,0.4,6.78,7.852286037,5.650489004,59.19971821
7,75,1,69.9,0.6,6.78,6.643034881,3.557537793,79.54750684
7,75,1,69.9,0.8,6.78,5.820015502,2.592368131,95.63944116
7,75,1,69.9,1,6.78,5.258087354,2.064342403,108.5064677
7,75,0.4,89.9,0.4,6.78,10.8574584,12.13755755,38.10714689
7,75,0.4,89.9,0.6,6.78,1.753357716,4.690270194,15.92510223
7,75,0.4,89.9,0.8,6.78,7.580438431,4.997085999,64.62299224
7,75,0.4,89.9,1,6.78,6.563001444,3.530207076,79.19757447
7,75,0.6,89.9,0.4,6.78,8.440216434,6.394491823,56.22857915
7,75,0.6,89.9,0.6,6.78,7.473695712,4.867782009,65.40543715
7,75,0.6,89.9,0.8,6.78,6.67660771,3.611127206,78.76306984
7,75,0.6,89.9,1,6.78,5.958600121,2.743248612,92.53129394
7,75,0.8,89.9,0.4,6.78,8.289454985,6.442626828,54.81161052
7,75,0.8,89.9,0.6,6.78,6.92013094,3.96473342,74.35494944
7,75,0.8,89.9,0.8,6.78,6.030623769,2.880561654,89.18557614
7,75,0.8,89.9,1,6.78,5.42370931,2.452960077,94.19231855
7,75,1,89.9,0.4,6.78,7.176215208,4.907107368,62.29876768
7,75,1,89.9,0.6,6.78,6.301269178,3.464438908,77.4826895
7,75,1,89.9,0.8,6.78,5.4299491,2.551416577,90.66171869
7,75,1,89.9,1,6.78,4.939495665,2.027738481,103.7720098
7,80,0.4,9.9,0.4,6.78,18.29045563,31.56598947,24.68395121
7,80,0.4,9.9,0.6,6.78,13.83666142,14.64434841,40.25045772
7,80,0.4,9.9,0.8,6.78,11.41747677,9.377133212,51.86920756
7,80,0.4,9.9,1,6.78,9.769115036,6.718708667,61.94110889
7,80,0.6,9.9,0.4,6.78,17.3675849,26.09259466,28.35513538
7,80,0.6,9.9,0.6,6.78,12.67315653,12.17774917,44.33302207
7,80,0.6,9.9,0.8,6.78,10.38231344,7.732550681,57.1980105
7,80,0.6,9.9,1,6.78,9.028262949,5.658739813,67.96636383
7,80,0.8,9.9,0.4,6.78,15.28597102,20.52743513,31.72253651
7,80,0.8,9.9,0.6,6.78,11.33397483,9.982282798,48.368424
7,80,0.8,9.9,0.8,6.78,9.437501901,6.423243353,62.59105015
7,80,0.8,9.9,1,6.78,8.254605138,4.709047329,74.67458373
7,80,1,9.9,0.4,6.78,13.47764023,16.75537464,34.26646298
7,80,1,9.9,0.6,6.78,10.20118967,8.134395167,53.42384209
7,80,1,9.9,0.8,6.78,8.588761099,5.344184508,68.4634281
7,80,1,9.9,1,6.78,7.54794748,4.026978495,79.84709523
7,80,0.4,29.9,0.4,6.78,16.60309022,22.0353512,32.09803995
7,80,0.4,29.9,0.6,6.78,12.3927202,11.39764592,46.31919955
7,80,0.4,29.9,0.8,6.78,10.36055885,7.44021639,59.32082434
7,80,0.4,29.9,1,6.78,9.087669131,5.59235472,69.22570035
7,80,0.6,29.9,0.4,6.78,14.84528443,18.13396428,34.87428636
7,80,0.6,29.9,0.6,6.78,11.26813758,9.367412821,51.24388444
7,80,0.6,29.9,0.8,6.78,9.538294891,6.184250189,65.70421885
7,80,0.6,29.9,1,6.78,8.360042211,4.646303137,76.64970568
7,80,0.8,29.9,0.4,6.78,13.28571604,15.21886026,37.18882002
7,80,0.8,29.9,0.6,6.78,10.30955711,7.926463775,55.40769606
7,80,0.8,29.9,0.8,6.78,8.712557549,5.231959917,70.93993951
7,80,0.8,29.9,1,6.78,7.668228291,3.954796792,82.60007142
7,80,1,29.9,0.4,6.78,11.8534952,12.31625649,40.99937775
7,80,1,29.9,0.6,6.78,9.228836763,6.479991894,60.67112725
7,80,1,29.9,0.8,6.78,7.928231394,4.490624052,75.21062214
7,80,1,29.9,1,6.78,6.974599757,3.269811602,90.86698579
7,80,1.2,30,1,6.78,6.403232303,2.890103518,94.3833573
7,80,0.4,49.9,0.4,6.78,13.31673222,21.68273812,26.16333514
7,80,0.4,49.9,0.6,6.78,11.52321267,9.700256492,50.60575652
7,80,0.4,49.9,0.8,6.78,9.652951001,6.50227799,63.2417867
7,80,0.4,49.9,1,6.78,8.493902519,4.91499289,73.61968261
7,80,0.6,49.9,0.4,6.78,13.62859727,15.69814227,36.98387901
7,80,0.6,49.9,0.6,6.78,10.20333335,7.63881392,56.901761
7,80,0.6,49.9,0.8,6.78,8.714203547,5.208346459,71.27502797
7,80,0.6,49.9,1,6.78,7.774867599,3.915903622,84.58056265
7,80,0.8,49.9,0.4,6.78,12.11010385,12.70868851,40.59351835
7,80,0.8,49.9,0.6,6.78,9.426260808,6.633460718,60.53532137
7,80,0.8,49.9,0.8,6.78,8.068143155,4.568721241,75.22955574
7,80,0.8,49.9,1,6.78,7.127799872,3.470644753,87.48929101
7,80,1,49.9,0.4,6.78,10.65048817,9.98497633,45.43934231
7,80,1,49.9,0.6,6.78,8.487836461,5.386858558,67.12294349
7,80,1,49.9,0.8,6.78,7.333652343,3.826359753,81.64772354
7,80,1,49.9,1,6.78,6.54327345,2.887686993,96.52826847
7,80,0.4,69.9,0.4,6.78,16.07430922,23.1667146,29.5581625
7,80,0.4,69.9,0.6,6.78,12.39823362,13.38208258,39.46805022
7,80,0.4,69.9,0.8,6.78,9.266650969,6.31278474,62.53330566
7,80,0.4,69.9,1,6.78,8.026672911,4.600783301,74.32130892
7,80,0.6,69.9,0.4,6.78,12.53542509,13.54475817,39.4255148
7,80,0.6,69.9,0.6,6.78,9.985417633,7.754744499,54.85400004
7,80,0.6,69.9,0.8,6.78,8.290572734,4.846972223,72.86577109
7,80,0.6,69.9,1,6.78,7.301855939,3.661775359,84.94760222
